Using device: cuda
[Seed 0] Epoch 066/100 | train_loss=0.0038 | val_loss=0.6085 | val_acc=0.9166
[Seed 0] Epoch 067/100 | train_loss=0.0034 | val_loss=0.6077 | val_acc=0.9162
[Seed 0] Epoch 068/100 | train_loss=0.0035 | val_loss=0.6108 | val_acc=0.9182
[Seed 0] Epoch 069/100 | train_loss=0.0031 | val_loss=0.6255 | val_acc=0.9154
[Seed 0] Epoch 070/100 | train_loss=0.0031 | val_loss=0.6256 | val_acc=0.9170
[Seed 0] Epoch 071/100 | train_loss=0.0028 | val_loss=0.6220 | val_acc=0.9180
[Seed 0] Epoch 072/100 | train_loss=0.0029 | val_loss=0.6426 | val_acc=0.9163
[Seed 0] Epoch 073/100 | train_loss=0.0024 | val_loss=0.6303 | val_acc=0.9179
[Seed 0] Epoch 074/100 | train_loss=0.0022 | val_loss=0.6370 | val_acc=0.9182
[Seed 0] Epoch 075/100 | train_loss=0.0023 | val_loss=0.6378 | val_acc=0.9180
[Seed 0] Epoch 076/100 | train_loss=0.0025 | val_loss=0.6309 | val_acc=0.9191
[Seed 0] Epoch 077/100 | train_loss=0.0021 | val_loss=0.6328 | val_acc=0.9195
[Seed 0] Epoch 078/100 | train_loss=0.0020 | val_loss=0.6247 | val_acc=0.9195
[Seed 0] Epoch 079/100 | train_loss=0.0020 | val_loss=0.6472 | val_acc=0.9180
[Seed 0] Epoch 080/100 | train_loss=0.0018 | val_loss=0.6358 | val_acc=0.9199
[Seed 0] Epoch 081/100 | train_loss=0.0017 | val_loss=0.6556 | val_acc=0.9175
[Seed 0] Epoch 082/100 | train_loss=0.0017 | val_loss=0.6434 | val_acc=0.9186
[Seed 0] Epoch 083/100 | train_loss=0.0015 | val_loss=0.6465 | val_acc=0.9197
[Seed 0] Epoch 084/100 | train_loss=0.0012 | val_loss=0.6412 | val_acc=0.9179
[Seed 0] Epoch 085/100 | train_loss=0.0015 | val_loss=0.6531 | val_acc=0.9184
[Seed 0] Epoch 086/100 | train_loss=0.0016 | val_loss=0.6551 | val_acc=0.9178
[Seed 0] Epoch 087/100 | train_loss=0.0011 | val_loss=0.6540 | val_acc=0.9183
[Seed 0] Epoch 088/100 | train_loss=0.0013 | val_loss=0.6560 | val_acc=0.9197
[Seed 0] Epoch 089/100 | train_loss=0.0012 | val_loss=0.6560 | val_acc=0.9192
[Seed 0] Epoch 090/100 | train_loss=0.0012 | val_loss=0.6562 | val_acc=0.9186
[Seed 0] Epoch 091/100 | train_loss=0.0012 | val_loss=0.6541 | val_acc=0.9195
[Seed 0] Epoch 092/100 | train_loss=0.0011 | val_loss=0.6562 | val_acc=0.9191
[Seed 0] Epoch 093/100 | train_loss=0.0012 | val_loss=0.6551 | val_acc=0.9184
[Seed 0] Epoch 094/100 | train_loss=0.0011 | val_loss=0.6579 | val_acc=0.9191
[Seed 0] Epoch 095/100 | train_loss=0.0011 | val_loss=0.6527 | val_acc=0.9187
[Seed 0] Epoch 096/100 | train_loss=0.0010 | val_loss=0.6542 | val_acc=0.9187
[Seed 0] Epoch 097/100 | train_loss=0.0011 | val_loss=0.6539 | val_acc=0.9184
[Seed 0] Epoch 098/100 | train_loss=0.0011 | val_loss=0.6541 | val_acc=0.9186
[Seed 0] Epoch 099/100 | train_loss=0.0010 | val_loss=0.6538 | val_acc=0.9187
[Seed 0] Epoch 100/100 | train_loss=0.0010 | val_loss=0.6539 | val_acc=0.9187
Seed 0 finished: best_val=0.9199, time=2.37 min
[Seed 1] Epoch 001/100 | train_loss=0.4452 | val_loss=0.3087 | val_acc=0.8897
[Seed 1] Epoch 002/100 | train_loss=0.2830 | val_loss=0.2776 | val_acc=0.9030
[Seed 1] Epoch 003/100 | train_loss=0.2576 | val_loss=0.2668 | val_acc=0.9047
[Seed 1] Epoch 004/100 | train_loss=0.2368 | val_loss=0.2703 | val_acc=0.9047
[Seed 1] Epoch 005/100 | train_loss=0.2196 | val_loss=0.2619 | val_acc=0.9086
[Seed 1] Epoch 006/100 | train_loss=0.2014 | val_loss=0.2516 | val_acc=0.9105
[Seed 1] Epoch 007/100 | train_loss=0.1884 | val_loss=0.2499 | val_acc=0.9151
[Seed 1] Epoch 008/100 | train_loss=0.1728 | val_loss=0.2543 | val_acc=0.9153
[Seed 1] Epoch 009/100 | train_loss=0.1598 | val_loss=0.2608 | val_acc=0.9126
[Seed 1] Epoch 010/100 | train_loss=0.1438 | val_loss=0.2702 | val_acc=0.9108
[Seed 1] Epoch 011/100 | train_loss=0.1327 | val_loss=0.2728 | val_acc=0.9113
[Seed 1] Epoch 012/100 | train_loss=0.1185 | val_loss=0.2820 | val_acc=0.9134
[Seed 1] Epoch 013/100 | train_loss=0.1053 | val_loss=0.3139 | val_acc=0.9118
[Seed 1] Epoch 014/100 | train_loss=0.0990 | val_loss=0.3559 | val_acc=0.9038
[Seed 1] Epoch 015/100 | train_loss=0.0943 | val_loss=0.3286 | val_acc=0.9097
[Seed 1] Epoch 016/100 | train_loss=0.0819 | val_loss=0.3273 | val_acc=0.9118
[Seed 1] Epoch 017/100 | train_loss=0.0714 | val_loss=0.3535 | val_acc=0.9111
[Seed 1] Epoch 018/100 | train_loss=0.0646 | val_loss=0.3700 | val_acc=0.9080
[Seed 1] Epoch 019/100 | train_loss=0.0603 | val_loss=0.3573 | val_acc=0.9109
[Seed 1] Epoch 020/100 | train_loss=0.0587 | val_loss=0.3810 | val_acc=0.9100
[Seed 1] Epoch 021/100 | train_loss=0.0521 | val_loss=0.4153 | val_acc=0.9099
[Seed 1] Epoch 022/100 | train_loss=0.0435 | val_loss=0.4344 | val_acc=0.9059
[Seed 1] Epoch 023/100 | train_loss=0.0478 | val_loss=0.4039 | val_acc=0.9101
[Seed 1] Epoch 024/100 | train_loss=0.0383 | val_loss=0.4695 | val_acc=0.9078
[Seed 1] Epoch 025/100 | train_loss=0.0389 | val_loss=0.4261 | val_acc=0.9082
[Seed 1] Epoch 026/100 | train_loss=0.0361 | val_loss=0.4515 | val_acc=0.9116
[Seed 1] Epoch 027/100 | train_loss=0.0322 | val_loss=0.4499 | val_acc=0.9157
[Seed 1] Epoch 028/100 | train_loss=0.0300 | val_loss=0.4869 | val_acc=0.9108
[Seed 1] Epoch 029/100 | train_loss=0.0300 | val_loss=0.4649 | val_acc=0.9142
[Seed 1] Epoch 030/100 | train_loss=0.0257 | val_loss=0.4827 | val_acc=0.9136
[Seed 1] Epoch 031/100 | train_loss=0.0242 | val_loss=0.4966 | val_acc=0.9124
[Seed 1] Epoch 032/100 | train_loss=0.0209 | val_loss=0.4776 | val_acc=0.9122
[Seed 1] Epoch 033/100 | train_loss=0.0207 | val_loss=0.4890 | val_acc=0.9113
[Seed 1] Epoch 034/100 | train_loss=0.0211 | val_loss=0.5134 | val_acc=0.9122
[Seed 1] Epoch 035/100 | train_loss=0.0203 | val_loss=0.4991 | val_acc=0.9126
[Seed 1] Epoch 036/100 | train_loss=0.0191 | val_loss=0.5002 | val_acc=0.9120
[Seed 1] Epoch 037/100 | train_loss=0.0210 | val_loss=0.5169 | val_acc=0.9137
[Seed 1] Epoch 038/100 | train_loss=0.0157 | val_loss=0.5404 | val_acc=0.9142
[Seed 1] Epoch 039/100 | train_loss=0.0165 | val_loss=0.5260 | val_acc=0.9155
[Seed 1] Epoch 040/100 | train_loss=0.0147 | val_loss=0.5340 | val_acc=0.9167
[Seed 1] Epoch 041/100 | train_loss=0.0152 | val_loss=0.5293 | val_acc=0.9133
[Seed 1] Epoch 042/100 | train_loss=0.0122 | val_loss=0.5596 | val_acc=0.9143
[Seed 1] Epoch 043/100 | train_loss=0.0140 | val_loss=0.5673 | val_acc=0.9153
[Seed 1] Epoch 044/100 | train_loss=0.0140 | val_loss=0.5621 | val_acc=0.9133
[Seed 1] Epoch 045/100 | train_loss=0.0156 | val_loss=0.5573 | val_acc=0.9157
[Seed 1] Epoch 046/100 | train_loss=0.0137 | val_loss=0.5424 | val_acc=0.9133
[Seed 1] Epoch 047/100 | train_loss=0.0101 | val_loss=0.5602 | val_acc=0.9178
[Seed 1] Epoch 048/100 | train_loss=0.0087 | val_loss=0.5821 | val_acc=0.9154
[Seed 1] Epoch 049/100 | train_loss=0.0089 | val_loss=0.5788 | val_acc=0.9121
[Seed 1] Epoch 050/100 | train_loss=0.0090 | val_loss=0.6070 | val_acc=0.9120
[Seed 1] Epoch 051/100 | train_loss=0.0090 | val_loss=0.6061 | val_acc=0.9186
[Seed 1] Epoch 052/100 | train_loss=0.0089 | val_loss=0.5822 | val_acc=0.9151
[Seed 1] Epoch 053/100 | train_loss=0.0081 | val_loss=0.6119 | val_acc=0.9168
[Seed 1] Epoch 054/100 | train_loss=0.0072 | val_loss=0.5994 | val_acc=0.9159
[Seed 1] Epoch 055/100 | train_loss=0.0077 | val_loss=0.5999 | val_acc=0.9154
[Seed 1] Epoch 056/100 | train_loss=0.0076 | val_loss=0.6263 | val_acc=0.9158
[Seed 1] Epoch 057/100 | train_loss=0.0067 | val_loss=0.6020 | val_acc=0.9178
[Seed 1] Epoch 058/100 | train_loss=0.0052 | val_loss=0.6067 | val_acc=0.9162
[Seed 1] Epoch 059/100 | train_loss=0.0059 | val_loss=0.6291 | val_acc=0.9164
[Seed 1] Epoch 060/100 | train_loss=0.0054 | val_loss=0.6372 | val_acc=0.9159
[Seed 1] Epoch 061/100 | train_loss=0.0046 | val_loss=0.6269 | val_acc=0.9175
[Seed 1] Epoch 062/100 | train_loss=0.0049 | val_loss=0.6449 | val_acc=0.9171
[Seed 1] Epoch 063/100 | train_loss=0.0049 | val_loss=0.6507 | val_acc=0.9170
[Seed 1] Epoch 064/100 | train_loss=0.0044 | val_loss=0.6439 | val_acc=0.9176
[Seed 1] Epoch 065/100 | train_loss=0.0040 | val_loss=0.6180 | val_acc=0.9178
[Seed 1] Epoch 066/100 | train_loss=0.0042 | val_loss=0.6325 | val_acc=0.9174
[Seed 1] Epoch 067/100 | train_loss=0.0033 | val_loss=0.6387 | val_acc=0.9180
[Seed 1] Epoch 068/100 | train_loss=0.0031 | val_loss=0.6368 | val_acc=0.9182
[Seed 1] Epoch 069/100 | train_loss=0.0032 | val_loss=0.6502 | val_acc=0.9171
[Seed 1] Epoch 070/100 | train_loss=0.0031 | val_loss=0.6557 | val_acc=0.9184
[Seed 1] Epoch 071/100 | train_loss=0.0028 | val_loss=0.6433 | val_acc=0.9186
[Seed 1] Epoch 072/100 | train_loss=0.0029 | val_loss=0.6564 | val_acc=0.9176
[Seed 1] Epoch 073/100 | train_loss=0.0033 | val_loss=0.6344 | val_acc=0.9159
[Seed 1] Epoch 074/100 | train_loss=0.0026 | val_loss=0.6464 | val_acc=0.9191
[Seed 1] Epoch 075/100 | train_loss=0.0025 | val_loss=0.6620 | val_acc=0.9175
[Seed 1] Epoch 076/100 | train_loss=0.0023 | val_loss=0.6696 | val_acc=0.9179
[Seed 1] Epoch 077/100 | train_loss=0.0025 | val_loss=0.6484 | val_acc=0.9178
[Seed 1] Epoch 078/100 | train_loss=0.0018 | val_loss=0.6790 | val_acc=0.9170
[Seed 1] Epoch 079/100 | train_loss=0.0018 | val_loss=0.6762 | val_acc=0.9178
[Seed 1] Epoch 080/100 | train_loss=0.0019 | val_loss=0.6517 | val_acc=0.9182
[Seed 1] Epoch 081/100 | train_loss=0.0019 | val_loss=0.6648 | val_acc=0.9174
[Seed 1] Epoch 082/100 | train_loss=0.0017 | val_loss=0.6708 | val_acc=0.9172
[Seed 1] Epoch 083/100 | train_loss=0.0017 | val_loss=0.6628 | val_acc=0.9191
[Seed 1] Epoch 084/100 | train_loss=0.0015 | val_loss=0.6704 | val_acc=0.9191
[Seed 1] Epoch 085/100 | train_loss=0.0015 | val_loss=0.6659 | val_acc=0.9182
[Seed 1] Epoch 086/100 | train_loss=0.0016 | val_loss=0.6716 | val_acc=0.9176
[Seed 1] Epoch 087/100 | train_loss=0.0015 | val_loss=0.6680 | val_acc=0.9201
[Seed 1] Epoch 088/100 | train_loss=0.0014 | val_loss=0.6699 | val_acc=0.9183
[Seed 1] Epoch 089/100 | train_loss=0.0014 | val_loss=0.6700 | val_acc=0.9192
[Seed 1] Epoch 090/100 | train_loss=0.0014 | val_loss=0.6691 | val_acc=0.9180
[Seed 1] Epoch 091/100 | train_loss=0.0013 | val_loss=0.6705 | val_acc=0.9187
[Seed 1] Epoch 092/100 | train_loss=0.0011 | val_loss=0.6714 | val_acc=0.9192
[Seed 1] Epoch 093/100 | train_loss=0.0013 | val_loss=0.6750 | val_acc=0.9189
[Seed 1] Epoch 094/100 | train_loss=0.0012 | val_loss=0.6714 | val_acc=0.9191
[Seed 1] Epoch 095/100 | train_loss=0.0012 | val_loss=0.6744 | val_acc=0.9187
[Seed 1] Epoch 096/100 | train_loss=0.0011 | val_loss=0.6758 | val_acc=0.9192
[Seed 1] Epoch 097/100 | train_loss=0.0011 | val_loss=0.6768 | val_acc=0.9191
[Seed 1] Epoch 098/100 | train_loss=0.0012 | val_loss=0.6769 | val_acc=0.9196
[Seed 1] Epoch 099/100 | train_loss=0.0011 | val_loss=0.6770 | val_acc=0.9196
[Seed 1] Epoch 100/100 | train_loss=0.0011 | val_loss=0.6770 | val_acc=0.9196
Seed 1 finished: best_val=0.9201, time=2.35 min
[Seed 2] Epoch 001/100 | train_loss=0.4487 | val_loss=0.3084 | val_acc=0.8897
[Seed 2] Epoch 002/100 | train_loss=0.2868 | val_loss=0.2784 | val_acc=0.9017
[Seed 2] Epoch 003/100 | train_loss=0.2582 | val_loss=0.2942 | val_acc=0.8936
[Seed 2] Epoch 004/100 | train_loss=0.2378 | val_loss=0.2528 | val_acc=0.9092
