Using device: cuda
[Seed 0] Epoch 066/100 | train_loss=0.0848 | val_loss=0.2417 | val_acc=0.9216
[Seed 0] Epoch 067/100 | train_loss=0.0840 | val_loss=0.2404 | val_acc=0.9221
[Seed 0] Epoch 068/100 | train_loss=0.0828 | val_loss=0.2418 | val_acc=0.9229
[Seed 0] Epoch 069/100 | train_loss=0.0822 | val_loss=0.2419 | val_acc=0.9233
[Seed 0] Epoch 070/100 | train_loss=0.0808 | val_loss=0.2434 | val_acc=0.9224
[Seed 0] Epoch 071/100 | train_loss=0.0804 | val_loss=0.2437 | val_acc=0.9221
[Seed 0] Epoch 072/100 | train_loss=0.0794 | val_loss=0.2418 | val_acc=0.9237
[Seed 0] Epoch 073/100 | train_loss=0.0787 | val_loss=0.2426 | val_acc=0.9217
[Seed 0] Epoch 074/100 | train_loss=0.0781 | val_loss=0.2438 | val_acc=0.9220
[Seed 0] Epoch 075/100 | train_loss=0.0773 | val_loss=0.2430 | val_acc=0.9224
[Seed 0] Epoch 076/100 | train_loss=0.0766 | val_loss=0.2438 | val_acc=0.9238
[Seed 0] Epoch 077/100 | train_loss=0.0761 | val_loss=0.2436 | val_acc=0.9230
[Seed 0] Epoch 078/100 | train_loss=0.0758 | val_loss=0.2433 | val_acc=0.9221
[Seed 0] Epoch 079/100 | train_loss=0.0753 | val_loss=0.2437 | val_acc=0.9230
[Seed 0] Epoch 080/100 | train_loss=0.0749 | val_loss=0.2463 | val_acc=0.9204
[Seed 0] Epoch 081/100 | train_loss=0.0742 | val_loss=0.2458 | val_acc=0.9221
[Seed 0] Epoch 082/100 | train_loss=0.0738 | val_loss=0.2445 | val_acc=0.9217
[Seed 0] Epoch 083/100 | train_loss=0.0734 | val_loss=0.2451 | val_acc=0.9232
[Seed 0] Epoch 084/100 | train_loss=0.0732 | val_loss=0.2457 | val_acc=0.9217
[Seed 0] Epoch 085/100 | train_loss=0.0728 | val_loss=0.2449 | val_acc=0.9226
[Seed 0] Epoch 086/100 | train_loss=0.0726 | val_loss=0.2455 | val_acc=0.9228
[Seed 0] Epoch 087/100 | train_loss=0.0723 | val_loss=0.2456 | val_acc=0.9224
[Seed 0] Epoch 088/100 | train_loss=0.0720 | val_loss=0.2453 | val_acc=0.9220
[Seed 0] Epoch 089/100 | train_loss=0.0718 | val_loss=0.2462 | val_acc=0.9207
[Seed 0] Epoch 090/100 | train_loss=0.0716 | val_loss=0.2454 | val_acc=0.9221
[Seed 0] Epoch 091/100 | train_loss=0.0714 | val_loss=0.2459 | val_acc=0.9225
[Seed 0] Epoch 092/100 | train_loss=0.0713 | val_loss=0.2459 | val_acc=0.9220
[Seed 0] Epoch 093/100 | train_loss=0.0712 | val_loss=0.2461 | val_acc=0.9221
[Seed 0] Epoch 094/100 | train_loss=0.0711 | val_loss=0.2459 | val_acc=0.9221
[Seed 0] Epoch 095/100 | train_loss=0.0710 | val_loss=0.2459 | val_acc=0.9222
[Seed 0] Epoch 096/100 | train_loss=0.0709 | val_loss=0.2459 | val_acc=0.9222
[Seed 0] Epoch 097/100 | train_loss=0.0709 | val_loss=0.2459 | val_acc=0.9220
[Seed 0] Epoch 098/100 | train_loss=0.0708 | val_loss=0.2459 | val_acc=0.9221
[Seed 0] Epoch 099/100 | train_loss=0.0708 | val_loss=0.2459 | val_acc=0.9221
[Seed 0] Epoch 100/100 | train_loss=0.0708 | val_loss=0.2459 | val_acc=0.9221
Seed 0 finished: best_val=0.9238, time=1.05 min
[Seed 1] Epoch 001/100 | train_loss=0.4854 | val_loss=0.3353 | val_acc=0.8830
[Seed 1] Epoch 002/100 | train_loss=0.3027 | val_loss=0.3003 | val_acc=0.8928
[Seed 1] Epoch 003/100 | train_loss=0.2798 | val_loss=0.2861 | val_acc=0.8970
[Seed 1] Epoch 004/100 | train_loss=0.2663 | val_loss=0.2813 | val_acc=0.9001
